Interval Start,First Frame Delay,Buffer Empty Duration,Stall Duration
08/Jan/2025:05:00:00,183.62,250.38,1285.74
08/Jan/2025:05:05:00,171.65,297.8,1374.28
08/Jan/2025:05:10:00,166.84,303.15,1362.02
08/Jan/2025:05:15:00,173.47,253.03,1275.71
08/Jan/2025:05:20:00,178.01,259.78,1370.99
08/Jan/2025:05:25:00,172.91,292.33,1295.37
08/Jan/2025:05:30:00,179.8,268.91,1309.95
08/Jan/2025:05:35:00,181.44,257.51,1311.42
08/Jan/2025:05:40:00,171.09,256.89,1307.18
08/Jan/2025:05:45:00,173.28,321.91,1515.09
08/Jan/2025:05:50:00,170.67,415.04,1699.55
08/Jan/2025:05:55:00,166.09,417.73,1516.35
08/Jan/2025:06:00:00,180.95,303.24,1405.36
08/Jan/2025:06:05:00,169.29,271.5,1262.08
08/Jan/2025:06:10:00,176.79,309.28,1440.98
08/Jan/2025:06:15:00,173.58,238.71,1311.25
08/Jan/2025:06:20:00,173.33,262.64,1370.72
08/Jan/2025:06:25:00,173.94,242.63,1178.65
08/Jan/2025:06:30:00,176.72,215.48,1349.21
08/Jan/2025:06:35:00,182.2,258.61,1416.82
08/Jan/2025:06:40:00,174.01,279.4,1351.72
08/Jan/2025:06:45:00,172.38,283.9,1253.04
08/Jan/2025:06:50:00,177.68,255.89,1397.17
08/Jan/2025:06:55:00,177.35,323.58,1423.73
08/Jan/2025:07:00:00,175.28,243.29,1317.03
08/Jan/2025:07:05:00,171.16,236.72,1321.21
08/Jan/2025:07:10:00,168.26,237.75,1290.02
08/Jan/2025:07:15:00,171.56,274.09,1443.36
08/Jan/2025:07:20:00,172,276.96,1518.35
08/Jan/2025:07:25:00,171.24,249.8,1386.59
08/Jan/2025:07:30:00,170.66,239.23,1335
08/Jan/2025:07:35:00,166.8,235.94,1212.25
08/Jan/2025:07:40:00,181.19,222.08,1363.61
08/Jan/2025:07:45:00,184.25,280.64,1549.06
08/Jan/2025:07:50:00,190.04,233.45,1443.64
08/Jan/2025:07:55:00,185.12,262.82,1520.44
08/Jan/2025:08:00:00,179.38,220.38,1474.91
08/Jan/2025:08:05:00,175.19,284.65,1493.21
08/Jan/2025:08:10:00,178.79,348.31,1595.94
08/Jan/2025:08:15:00,171.09,331.86,1535.34
08/Jan/2025:08:20:00,179.76,263.86,1373.89
08/Jan/2025:08:25:00,178.89,271.17,1445.67
08/Jan/2025:08:30:00,178.4,271.18,1463.35
08/Jan/2025:08:35:00,176.37,267,1301.65
08/Jan/2025:08:40:00,177.66,327.79,1343.62
08/Jan/2025:08:45:00,172.91,246.39,1333.75
08/Jan/2025:08:50:00,172.49,217.71,1287.11
08/Jan/2025:08:55:00,167.61,212.51,1171.26
08/Jan/2025:09:00:00,178.01,249.37,1265.44
08/Jan/2025:09:05:00,181.34,219.14,1235.9
08/Jan/2025:09:10:00,174.95,195.75,1294.43
08/Jan/2025:09:15:00,175.05,237.17,1429.59
08/Jan/2025:09:20:00,165.87,238.37,1278.78
08/Jan/2025:09:25:00,171.57,208.63,1285.89
08/Jan/2025:09:30:00,169.84,209.48,1255.32
08/Jan/2025:09:35:00,169.12,289.52,1391.21
08/Jan/2025:09:40:00,171.34,475.47,1566.12
08/Jan/2025:09:45:00,165.55,256.32,1492.32
08/Jan/2025:09:50:00,181.47,250.22,1411.56
08/Jan/2025:09:55:00,174.46,302.4,1468.9
